link2,redirect_url,status
http://insite.georgia.org,http://www.georgia.org/siteselector/,Success: (200) OK
http://opendata.atlantaregional.com/datasets/small-business-loans-2012,http://opendata.atlantaregional.com/datasets/small-business-loans-2012,Success: (200) OK
http://opendata.atlantaregional.com/datasets/small-business-loans-2013,http://opendata.atlantaregional.com/datasets/small-business-loans-2013,Success: (200) OK
http://govathon.com/CDIA.ZIP,http://govathon.com/CDIA.ZIP,Client error: (404) Not Found
http://govathon.com/Empowerment_Zones.zip,http://govathon.com/Empowerment_Zones.zip,Client error: (404) Not Found
https://aca3.accela.com/atlanta_ga/Cap/CapHome.aspx?module%3DBuilding%26TabName%3DBuilding,https://aca3.accela.com/ATLANTA_GA/Error.aspx?ErrorId=e616bb9c72b140b6b5c246d7065bbebe,Success: (200) OK
https://web.atlantaga.gov/blis/businesslookup.aspx,error,error
https://nces.ed.gov/ccd/index.asp,https://nces.ed.gov/ccd/index.asp,Success: (200) OK
http://opendata.atlantaregional.com/datasets/library-community-facilities,http://opendata.atlantaregional.com/datasets/library-community-facilities,Success: (200) OK
http://opendata.atlantaregional.com/datasets/college-community-facilities,http://opendata.atlantaregional.com/datasets/college-community-facilities,Success: (200) OK
http://opendata.atlantaregional.com/datasets/schools-community-facilities,http://opendata.atlantaregional.com/datasets/schools-community-facilities,Success: (200) OK
http://garc.maps.arcgis.com/apps/webappviewer/index.html?id%3D1a1d555b7e36403c80c454b51b0d9f13,http://garc.maps.arcgis.com/apps/webappviewer/index.html?id%3D1a1d555b7e36403c80c454b51b0d9f13,Success: (200) OK
https://apsinsights.org/data-explorer/,https://apsinsights.org/data-explorer/,Success: (200) OK
http://opendata.atlantaregional.com/datasets/fire-stations-community-facilities,http://opendata.atlantaregional.com/datasets/fire-stations-community-facilities,Success: (200) OK
http://opendata.atlantaregional.com/datasets/emergency-medical-service-community-facilities,http://opendata.atlantaregional.com/datasets/emergency-medical-service-community-facilities,Success: (200) OK
http://share.myfultoncountyga.us:8080/geoportal/catalog/search/resource/details.page?uuid%3D%257BE3F1FF71-2448-408B-B517-1A2EAD467789%257D,error,error
http://geodata.johnscreekga.gov/datasets/4a2dc3819adb42fca3549512de8f29c7_0,http://geodata.johnscreekga.gov/datasets/4a2dc3819adb42fca3549512de8f29c7_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/d06281587dc44743bfcc9f51c1be739c_0,http://geodata.johnscreekga.gov/datasets/d06281587dc44743bfcc9f51c1be739c_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/b90138a6920247fdb016a9dcbc12f504_0,http://geodata.johnscreekga.gov/datasets/b90138a6920247fdb016a9dcbc12f504_0,Client error: (404) Not Found
http://opendata.atlantaregional.com/datasets/employment-estimates-by-census-tract-2012,http://opendata.atlantaregional.com/datasets/employment-estimates-by-census-tract-2012,Success: (200) OK
http://opendata.atlantaregional.com/datasets/employment-estimates-by-census-tract-2009,http://opendata.atlantaregional.com/datasets/employment-estimates-by-census-tract-2009,Success: (200) OK
http://opendata.atlantaregional.com/datasets/forecast-employment-change-by-industry-2015-to-2040,http://opendata.atlantaregional.com/datasets/forecast-employment-change-by-industry-2015-to-2040,Success: (200) OK
http://opendata.atlantaregional.com/datasets/plan-2040-forecasts-by-census-tract,http://opendata.atlantaregional.com/datasets/plan-2040-forecasts-by-census-tract,Success: (200) OK
http://opendata.atlantaregional.com/datasets/arc-employment-forecasts-series13,http://opendata.atlantaregional.com/datasets/arc-employment-forecasts-series13,Success: (200) OK
http://opendata.atlantaregional.com/datasets/employment-estimates,http://opendata.atlantaregional.com/datasets/employment-estimates,Success: (200) OK
http://en.openei.org/wiki/Help:Energy_Hackathon_Resources,https://openei.org/wiki/Help:Energy_Hackathon_Resources,Success: (200) OK
http://data.reeep.org/,http://data.reeep.org/,Success: (200) OK
https://developer.epa.gov/,https://developer.epa.gov/,Success: (200) OK
https://water.usgs.gov/maps.html,https://water.usgs.gov/maps.html,Success: (200) OK
http://map.georgiadfirm.com/,http://map.georgiadfirm.com/,Success: (200) OK
http://opendata.atlantaregional.com/datasets/lakes-ponds-reservoirs-and-swamps-georgia,http://opendata.atlantaregional.com/datasets/lakes-ponds-reservoirs-and-swamps-georgia,Success: (200) OK
http://opendata.atlantaregional.com/datasets/river-basins-georgia,http://opendata.atlantaregional.com/datasets/river-basins-georgia,Success: (200) OK
http://opendata.atlantaregional.com/datasets/landpro-1999-adjusted,http://opendata.atlantaregional.com/datasets/landpro-1999-adjusted,Success: (200) OK
http://opendata.atlantaregional.com/datasets/landpro-2001-adjusted,http://opendata.atlantaregional.com/datasets/landpro-2001-adjusted,Success: (200) OK
http://opendata.atlantaregional.com/datasets/landpro-2003,http://opendata.atlantaregional.com/datasets/landpro-2003,Success: (200) OK
http://opendata.atlantaregional.com/datasets/landpro-2005,http://opendata.atlantaregional.com/datasets/landpro-2005,Success: (200) OK
http://opendata.atlantaregional.com/datasets/landpro-2007,http://opendata.atlantaregional.com/datasets/landpro-2007,Success: (200) OK
http://opendata.atlantaregional.com/datasets/landpro-2008,http://opendata.atlantaregional.com/datasets/landpro-2008,Success: (200) OK
http://opendata.atlantaregional.com/datasets/landpro-2009,http://opendata.atlantaregional.com/datasets/landpro-2009,Success: (200) OK
http://opendata.atlantaregional.com/datasets/landpro-2010,http://opendata.atlantaregional.com/datasets/landpro-2010,Success: (200) OK
http://opendata.atlantaregional.com/datasets/landpro-2012,http://opendata.atlantaregional.com/datasets/landpro-2012,Success: (200) OK
http://opendata.atlantaregional.com/datasets/floodplains,http://opendata.atlantaregional.com/datasets/floodplains,Success: (200) OK
http://opendata.atlantaregional.com/datasets/gardens-farms-and-orchards,http://opendata.atlantaregional.com/datasets/gardens-farms-and-orchards,Success: (200) OK
http://opendata.atlantaregional.com/datasets/greenspace,http://opendata.atlantaregional.com/datasets/greenspace,Success: (200) OK
http://opendata.atlantaregional.com/datasets/river-basins-atlanta-region,http://opendata.atlantaregional.com/datasets/river-basins-atlanta-region,Success: (200) OK
http://opendata.atlantaregional.com/datasets/particulate-matter,http://opendata.atlantaregional.com/datasets/particulate-matter,Success: (200) OK
http://opendata.atlantaregional.com/datasets/lakes-ponds-reservoirs-and-swamps-atlanta-region,http://opendata.atlantaregional.com/datasets/lakes-ponds-reservoirs-and-swamps-atlanta-region,Success: (200) OK
http://opendata.atlantaregional.com/datasets/rivers-streams-atlanta-region,http://opendata.atlantaregional.com/datasets/rivers-streams-atlanta-region,Success: (200) OK
http://govathon.com/Atlanta-Parks.zip,http://govathon.com/Atlanta-Parks.zip,Client error: (404) Not Found
http://govathon.com/Rec-Centers.zip,http://govathon.com/Rec-Centers.zip,Client error: (404) Not Found
